cliente_id,nome,cidade,estado,cep,latitude,longitude,cluster_dbscan,regiao
CUST-1014,Ana Silva,Goiânia,GO,74884-010,-16.740249,-49.256078,0,Região 3
CUST-1016,João Ferreira,Goiânia,GO,74040-070,-16.685586,-49.264859,0,Região 1
CUST-1033,Gisele Souza,Goiânia,GO,74825-440,-16.706728,-49.26082,0,Região 1
CUST-1039,João Rodrigues,Goiânia,GO,74680-030,-16.717985,-49.248071,0,Região 3
CUST-1042,Hugo Souza,Goiânia,GO,74680-030,-16.718176,-49.248656,0,Região 3
CUST-1053,João Ferreira,Goiânia,GO,74055-140,-16.691562,-49.264525,0,Região 1
CUST-1055,Bruno Santos,Goiânia,GO,74645-000,-16.704372,-49.269119,0,Região 1
CUST-1067,Elena Silva,Goiânia,GO,74130-010,-16.699035,-49.271065,0,Região 1
CUST-1069,Elena Costa,Goiânia,GO,74000-100,-16.682146,-49.255311,0,Região 1
CUST-1080,Diego Santos,Goiânia,GO,74040-070,-16.686606,-49.263735,0,Região 1
CUST-1081,Diego Silva,Goiânia,GO,74605-050,-16.690616,-49.256731,0,Região 1
CUST-1087,Iara Souza,Goiânia,GO,74250-040,-16.68869,-49.254508,0,Região 1
CUST-1102,João Rodrigues,Goiânia,GO,74000-040,-16.684675,-49.261391,0,Região 1
CUST-1107,João Rodrigues,Goiânia,GO,74275-000,-16.728434,-49.280318,0,Região 3
CUST-1114,Ana Silva,Goiânia,GO,74000-010,-16.682249,-49.259003,0,Região 1
CUST-1123,Bruno Pereira,Belo Horizonte,GO,30160-010,-19.916586,-43.930592,1,Região 2
CUST-1124,Iara Ferreira,Goiânia,GO,74605-220,-16.693745,-49.263981,0,Região 1
CUST-1128,João Costa,Belo Horizonte,GO,31017-900,-19.889049,-43.963605,1,Região 2
CUST-1139,Iara Pereira,Belo Horizonte,GO,30710-060,-19.908342,-43.948208,1,Região 2
CUST-1142,Hugo Ferreira,Goiânia,GO,74040-010,-16.684625,-49.263747,0,Região 1
CUST-1158,Iara Silva,Goiânia,GO,74080-040,-16.688556,-49.265066,0,Região 1
CUST-1179,Diego Silva,Goiânia,GO,74000-010,-16.680321,-49.260232,0,Região 1
CUST-1205,Carla Santos,Goiânia,GO,74535-240,-16.696731,-49.27998,0,Região 1
CUST-1216,João Silva,Goiânia,GO,74605-220,-16.693821,-49.261014,0,Região 1
CUST-1221,Hugo Santos,Goiânia,GO,74000-050,-16.684892,-49.264964,0,Região 1
CUST-1222,Ana Souza,Goiânia,GO,74815-330,-16.724203,-49.265915,0,Região 3
CUST-1228,Hugo Costa,Goiânia,GO,74040-010,-16.686363,-49.265405,0,Região 1
CUST-1229,Ana Pereira,Goiânia,GO,74275-000,-16.727884,-49.278291,0,Região 3
CUST-1251,Ana Rodrigues,Goiânia,GO,74673-020,-16.708262,-49.295315,0,Região 3
CUST-1259,Gisele Ferreira,Goiânia,GO,74000-040,-16.68343,-49.258744,0,Região 1
CUST-1263,Fabio Ferreira,Goiânia,GO,74605-010,-16.693846,-49.268356,0,Região 1
CUST-1301,Elena Souza,Goiânia,GO,74130-010,-16.701753,-49.270545,0,Região 1
CUST-1311,João Rodrigues,Goiânia,GO,74000-010,-16.681444,-49.259117,0,Região 1
CUST-1312,Iara Costa,Goiânia,GO,74000-010,-16.681799,-49.257802,0,Região 1
CUST-1321,João Santos,Goiânia,GO,74275-000,-16.727802,-49.28172,0,Região 3
CUST-1344,Bruno Souza,Goiânia,GO,74000-050,-16.683746,-49.262247,0,Região 1
CUST-1348,Diego Pereira,Goiânia,GO,74080-040,-16.689435,-49.263766,0,Região 1
CUST-1349,João Costa,Goiânia,GO,74250-010,-16.696553,-49.253475,0,Região 1
CUST-1387,Fabio Rodrigues,Goiânia,GO,74040-010,-16.684922,-49.263648,0,Região 1
CUST-1391,Hugo Santos,Goiânia,GO,74000-100,-16.683222,-49.258247,0,Região 1
CUST-1394,Diego Pereira,Goiânia,GO,74605-050,-16.693046,-49.256988,0,Região 1
CUST-1396,Iara Ferreira,Goiânia,GO,74000-050,-16.684516,-49.263546,0,Região 1
CUST-1397,Hugo Costa,Goiânia,GO,74840-000,-16.737657,-49.299543,0,Região 3
CUST-1433,Diego Rodrigues,Goiânia,GO,74645-540,-16.708383,-49.292073,0,Região 3
CUST-1435,João Pereira,Goiânia,GO,74055-140,-16.692788,-49.267863,0,Região 1
CUST-1440,Elena Santos,Goiânia,GO,74605-050,-16.692628,-49.259549,0,Região 1
CUST-1443,Diego Santos,Goiânia,GO,74215-010,-16.676383,-49.254362,0,Região 1
CUST-1445,Iara Rodrigues,Goiânia,GO,74000-100,-16.68315,-49.256104,0,Região 1
CUST-1455,Bruno Souza,Goiânia,GO,74000-010,-16.680767,-49.260381,0,Região 1
CUST-1460,Hugo Santos,Goiânia,GO,74055-240,-16.695833,-49.268695,0,Região 1
CUST-1462,Iara Oliveira,Goiânia,GO,74840-020,-16.726591,-49.317283,0,Região 3
CUST-1464,Carla Silva,Goiânia,GO,74250-040,-16.688437,-49.254292,0,Região 1
